City,Country_Code,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed,Temperature_Category,Humidity_Category,Cloudiness_Category
Virginia Beach,US,36.8646706674397,-73.94173055106351,78.8,88,40,4.7,Hot,Moist,Partly_Cloudy
Pingxiang,CN,27.166194803378517,113.9973371281701,75.6,100,92,3.74,Hot,Moist,Cloudy
Haverfordwest,GB,51.34812051021825,-4.768442684887219,54.09,100,12,16.71,Optimum,Moist,Clear
Cap-Aux-Meules,CA,48.02317633010665,-61.163541562604536,57.2,71,90,12.75,Optimum,Optimum,Cloudy
Timra,SE,64.20750131011897,16.506816838680862,51.8,62,44,5.82,Optimum,Optimum,Partly_Cloudy
Gorin,RU,51.090063925215844,136.57399151453376,48.6,100,92,7.87,Cold,Moist,Cloudy
Winfield,US,37.21174586468534,-96.71442350078534,71.6,88,40,6.93,Hot,Moist,Partly_Cloudy
Chalmette,US,29.200739739709277,-89.56248265951756,84.2,78,40,3.36,Hot,Moist,Partly_Cloudy
Lensk,RU,60.6918858696061,115.53117262706803,64.71,67,0,3.4,Optimum,Optimum,Clear
Kodinar,IN,20.945147646670335,70.59544876084209,84.42,74,92,10.22,Hot,Optimum,Cloudy
Solnechnogorsk,RU,56.349397988130846,37.1845938386447,55.4,81,0,11.18,Optimum,Moist,Clear
Wasilla,US,61.86735448419151,-149.68636459733372,69.8,52,90,2.73,Optimum,Optimum,Cloudy
Cuamba,MZ,-13.878330948433614,37.36449622399783,54.99,91,0,2.73,Optimum,Moist,Clear
Villa Bisono,DO,19.389769393781307,-70.92787161464489,78.8,88,40,4.7,Hot,Moist,Partly_Cloudy
Popondetta,PG,-7.701439482242236,148.74426178322574,75.42,94,68,2.39,Hot,Moist,Partly_Cloudy
Vezirkopru,TR,41.10529899138368,35.29100377213379,59,87,0,4.7,Optimum,Moist,Clear
Bemidji,US,47.336098924647104,-95.66099661652174,77,56,1,4.7,Hot,Optimum,Clear
Druzhba,UA,51.547813617851745,28.155880000330086,62.1,86,36,2.84,Optimum,Moist,Partly_Cloudy
Savannah Bight,HN,17.27308765512413,-84.83491792800126,84.24,92,12,19.73,Hot,Moist,Clear
Kinango,KE,-4.354964857920905,38.77404856231638,74.88,100,88,14.14,Hot,Moist,Cloudy
Payakumbuh,ID,0.49163685358824694,100.18931839850666,80.37,88,88,3.4,Hot,Moist,Cloudy
Toamasina,MG,-18.38716889301864,51.32706158729431,66.2,93,40,3.18,Optimum,Moist,Partly_Cloudy
Pitiquito,MX,30.061587413182764,-112.005839567793,86.31,20,0,7.54,Hot,Dry,Clear
Valparaiso,CO,5.631382902562194,-75.58235800277342,64.89,96,88,1.61,Optimum,Moist,Cloudy
Olinda,BR,-8.783094975542255,-31.813355462788536,69.8,83,0,3.36,Optimum,Moist,Clear
Esqueda,MX,30.81632080577549,-109.33226390113909,78.75,32,0,3.96,Hot,Dry,Clear
Cambridge,US,40.12616651361728,-81.65530429662115,69.8,100,90,6.93,Optimum,Moist,Cloudy
Lebedyn,UA,50.384731420048695,34.41571360365944,61.56,73,0,4.07,Optimum,Optimum,Clear
Vanavara,RU,60.13378056947798,103.95066351858253,78.12,75,0,3.96,Hot,Optimum,Clear
Arbagar,RU,52.306236092732064,116.16779315745146,75.24,80,0,4.41,Hot,Moist,Clear
Rock Sound,BS,23.729217400321147,-76.46076261005018,80.82,100,0,1.28,Hot,Moist,Clear
Taguatinga,BR,-12.11452876730867,-46.31523765399203,62.6,72,0,4.7,Optimum,Optimum,Clear
Rovaniemi,FI,67.74694960935358,24.947562743776217,46.4,81,0,6.93,Cold,Moist,Clear
Nawalgarh,IN,27.949208343059524,75.39266152882743,91.17,45,0,4.63,Hot,Optimum,Clear
Hirtshals,DK,57.87047741652535,9.921278456245119,53.46,100,76,19.73,Optimum,Moist,Cloudy
Shimanovsk,RU,51.81602033957259,127.81396765498312,73.62,49,8,3.62,Hot,Optimum,Clear
Dezhou,CN,37.740521378544116,116.39633578274777,91.89,52,20,10.67,Hot,Optimum,Clear
Minsk,BY,53.58198538361901,28.302838853810243,55.4,76,0,7.54,Optimum,Moist,Clear
Manyana,BW,-22.75348003807973,21.126609846751876,39.6,81,0,6.64,Cold,Moist,Clear
Plouzane,FR,48.45191228208688,-5.072401529788323,59,100,90,10.29,Optimum,Moist,Cloudy
Carhuaz,PE,-9.231195895012533,-77.62526238925123,29.34,73,0,1.95,Cold,Optimum,Clear
Save,BJ,8.08125340457832,2.5908488726065,74.16,90,32,7.09,Hot,Moist,Partly_Cloudy
Tulum,MX,18.962883481589714,-86.59733104104959,80.6,83,40,3.36,Hot,Moist,Partly_Cloudy
Toktogul,KG,41.93723218597205,72.53818561630652,52.83,73,32,2.28,Optimum,Optimum,Partly_Cloudy
Elizabeth City,US,34.20521717684835,-73.38669419502453,80.6,94,40,5.82,Hot,Moist,Partly_Cloudy
Kisangani,CD,1.1767738151997946,26.19319733680058,71.91,100,88,2.62,Hot,Moist,Cloudy
Amga,RU,60.2549158275539,131.17044351837728,57.51,63,76,8.21,Optimum,Optimum,Cloudy
Farroupilha,BR,-29.166731307209936,-51.36258449076874,45.81,83,0,2.17,Cold,Moist,Clear
Tevaitoa,PF,-18.086358867403135,-152.48729650334752,81.54,96,92,15.59,Hot,Moist,Cloudy
Tarakan,ID,2.8884233483682635,119.06968447662734,85.59,88,12,2.06,Hot,Moist,Clear
Arumbavur,IN,11.405398239083283,78.69683390059481,82.4,65,40,6.87,Hot,Optimum,Partly_Cloudy
Wittingen,DE,52.72190909308958,10.59858827666011,62.6,87,20,3.36,Optimum,Moist,Clear
Puerto Penasco,MX,31.64572944944321,-113.90281313383845,80.01,85,0,6.2,Hot,Moist,Clear
Gazanjyk,TM,40.73413321570149,55.68613589622893,70.65,55,0,7.43,Hot,Optimum,Clear
Piet Retief,ZA,-26.900099294031968,30.777597370668275,45,96,20,2.51,Cold,Moist,Clear
Daru,PG,-12.553127470310073,144.01519064255132,79.29,90,48,18.84,Hot,Moist,Partly_Cloudy
Palampur,IN,32.45849847686529,76.53254651924425,41.49,81,36,0.72,Cold,Moist,Partly_Cloudy
Agogo,GH,7.025644937680241,-1.1332707126688604,73.17,81,8,9.33,Hot,Moist,Clear
Nantucket,US,39.49510390332475,-70.69881186849572,68,82,1,12.75,Optimum,Moist,Clear
Lekoni,GA,-1.729450738279212,14.093826789773999,66.69,98,68,4.29,Optimum,Moist,Partly_Cloudy
Shaturtorf,RU,55.6439151947192,39.430090517969916,60.03,59,0,11.68,Optimum,Optimum,Clear
Berea,US,37.34397071923834,-84.32555823635082,71.6,82,75,8.05,Hot,Moist,Cloudy
Kalach-Na-Donu,RU,48.844870364800556,43.280242893584415,68,60,0,4.47,Optimum,Optimum,Clear
Lere,NG,10.409654203687552,8.938715076114846,65.16,99,92,8.55,Optimum,Moist,Cloudy
Litovko,RU,49.157970805719515,135.62677915956567,56.16,97,92,5.86,Optimum,Moist,Cloudy
Banamba,ML,14.122176489242733,-7.6005151439469785,83.79,49,0,12.46,Hot,Optimum,Clear
Manado,ID,3.054107479367076,122.98895886700086,87.8,62,20,3.36,Hot,Optimum,Clear
Sal Rei,CV,16.320891439977302,-23.373405567286625,73.4,78,75,14.99,Hot,Moist,Cloudy
Maniago,IT,46.25903353933347,12.79330734910667,59.58,78,0,2.73,Optimum,Moist,Clear
Canavieiras,BR,-15.434386390719027,-38.85340098130237,69.39,100,92,6.98,Optimum,Moist,Cloudy
Dzhebariki-Khaya,RU,62.26480740375686,136.6252482381921,67.41,39,88,6.87,Optimum,Optimum,Cloudy
Nepa Nagar,IN,21.361614477701252,76.4605080429389,80.64,89,44,5.19,Hot,Moist,Partly_Cloudy
Mucurapo,TT,10.893178788586894,-62.26374656170012,77,88,20,11.23,Hot,Moist,Clear
Aksu,KZ,42.865019635454445,69.52316738404193,60.8,82,20,6.71,Optimum,Moist,Clear
Kraslava,LV,55.994078895384774,27.23612353663941,58.77,78,0,11.79,Optimum,Moist,Clear
Totness,SR,5.251077342426385,-56.09664702869081,79.92,100,36,11.23,Hot,Moist,Partly_Cloudy
Nisia Floresta,BR,-3.5900685936384207,-27.207609735369687,75.2,78,0,8.05,Hot,Moist,Clear
Kamariotissa,GR,40.58735982483711,25.505061772629716,73.4,69,0,8.05,Hot,Optimum,Clear
Santiago,PH,7.015131185702032,129.08386946876846,87.12,87,0,0.83,Hot,Moist,Clear
Bela,PK,26.154218383018247,66.44328670325217,76.86,88,56,2.39,Hot,Moist,Partly_Cloudy
